,artist,name,id,album,album_id,album_year,track,track_id
44,Cleo,Cleo's Trademark,3y3wvhrKyp9SX3sZU1HREy,wordt (the red project),6e6ahpgTWSHIaNpuKvpSoH,2023-10-06,intro(spective),5XDja3my1Mb5p3zxQKNLxZ
45,Cleo,Cleo DeNile,6cPcHTRjHntyNsIJXCpuLM,nan,nan,nan,nan,nan
46,Cleo,Cleo and Cuquin,1Sa894Mh8bJN39OZEuES9W,"Nursery Rhymes, Vol. 3",2KkhUkJI8UrKUfXodPnCPV,2023-11-30,nan,nan
47,Cleo,Stephen Cleobury,0ugRf6ECGBFRCHlv9iG1No,"Carols from King's College, Cambridge",2XcWMfmt3hsnTjU4aTMBnj,2023-12-01,nan,nan
48,Cleo,Cleo Laine,7GUNyLdzdGxR828EyGvM7k,The Stars of Jazz - Cleo Laine,27jCPx7K9k6CUi1hqqDyoq,2023-02-20,nan,nan
49,Cleo,Cleopold,2BeARYDF52QQk5S2zgiVHe,Alone with You (Lazywax Remix),0P9SMOg4aDG5X8Xc63lbTj,2023-05-19,Alone with You - Lazywax Remix,4jO4c0dhLI3OwCLeYvZSkn
50,COOL,COOL,0w3PsroIezW7uRTNxEJLb9,COOL 11th,1MlY2GKEwQj0mCuK2PzSC7,2009-07-20,nan,nan
51,COOL,Coolio,3y24n3XhZ96wgwRXjvS17T,My Soul (25th Anniversary),5mTHgK21ytgre3yJ86ClYh,2022-10-28,nan,nan
52,COOL,CO0Lf15H,6gSKXCMmpnB6Yd5NPc3i01,WAZZA,6GcGtWeDN1IxShxb3WHNEk,2023-05-10,!,5N0HWLKI71q2O8NfNEXURN
53,COOL,Cool & Dre,2PsjBHyb950JI7BHXY10TD,OK (feat. Young Thug),76GwLI1nybtKiwJ1maeFIw,2023-11-10,nan,nan
54,COOL,COOL&CREATE,6iCaBLgyK2nJqzSkCGrV4L,幻想龍殺蟲毒少女・姫虫百々世,4iKZGfIUadxUQMrCzrugZm,2022-08-14,nan,nan
55,COOL,Cooliecut,19uEVh7y7Y9RfjMphMamXc,Who Killed Wolf?,2FmoZ7UT2yEbPqaPJf7SGj,2023-10-31,Bluff,3JxrtzLQUObDd80trGQYUr
56,COOL,CooL BoMB,1XdGyHmWSfMkZ4p1pJIf7b,CooL BoMBer,7sowSnyzgrpSUDx3ncducp,2018,Paradox 13,4eLpKvLxhy1NHxmKH2RNW0
57,COOL,Cool Company,6lOCVUQbb9wzuZQbZQV9zn,Know Better,5SWaa7bRim9Vmf646cyttw,2023-11-10,Poison In The Well,6o9dEJ8ZIniCWoL9E9HGWp
58,COOL,Cool Bomb,0FdK9CKR43bDTSwvv6YE2K,nan,nan,nan,nan,nan
59,COOL,Cooltime Kids,5Cx0MO39eG4ElGaD1juoZQ,Heavy Rain Serenades for Kids' Serenity,26ENW5jPBtI0dYLyAix79Q,2023-11-29,nan,nan
60,DJ.DOC,DJ DOC,3kDgt4vVKGTLmtC3FkOwWF,"Love & Sex, Happiness 6집",56bpAOGNny76QSL9sgg391,2004-11-09,nan,nan
61,DJ.DOC,"DJ ""D.O.C.""",4cYUeqAGXyqvtPMLSFdprl,Somewhere In Berlin,0wKlyAF9pdjMaHRUPctN28,2023-11-17,Somewhere In Berlin - Extended Mix,1oy7zv8w3wfCOkul9gT5Dv
62,DJ.DOC,DJ Doc,72oQ2XbvjheM8C4qDUT9a2,Syntherapy,5JGInlss1wKvyz3VChnj6d,2020-05-03,Syntherapy,1HtBTkGRBbzU7EZADvwPn1
63,DJ.DOC,DJBDOCK,2jWG22vSr8xR3OheJpBoKj,Mom Bdock Is Making A Christmas Album 2022,5iUvLgoPjhmYGUz26NtrG5,2022-12-25,Intro,4cZnoTYC2XZY0wrdxhT3WW
64,DJ.DOC,Dr. Dog,4mLJ3XfOM5FPjSAWdQ2Jk7,Four Nights Live in San Francisco,1qhXBQJAkKayUrbt1K6ZA0,2022-12-07,nan,nan
65,DJ.DOC,Dj Doc,7zxbRmYS76STntJ2F0babV,Two Sides One Story,3Tx3mYz4tKjLP9KKoKr9l0,2022-02-07,Two Sides One Story,6eLro7QyMTMnoYDzqk7U6M
66,DJ.DOC,DJ Dollynho Da Lapa,3bc5LOOhGbLvDUcybl3LY8,Setzin do Hexa (Copa do Mundo 2022),649WtNUhgLfhWqpwSMnYro,2022-12-06,"É o Pombo, É o Neymar, Vinícius Jr E Paquetá (Copa do Mundo 2022)",1TQtGMaPyzZLeFuBo8n4dK
67,DJ.DOC,CARLOS ZAPATA DJ DOC,4ucnn29By5pNcmBUx3vtsi,SE PARECE A TI (Instrumental),2vFPng6pAoMuV2iNurjw0r,2023-11-27,nan,nan
68,DJ.DOC,Djdoc,6I0X4DVaj5epQ1VZBHsMVh,Xilies Mia Nixtes,0mhzxOINfb3IFMqIwCwtPH,2023-12-03,nan,nan
69,DJ.DOC,D.O.C.,54ke4nJfRQCgxdBMx3ydQv,Noi le suoniamo così,3FNXXspn6o86s44meBWVGK,2010-11-12,nan,nan
70,NRG,NRG,7xrfnodwPKuIxS9JuUECaf,One Of Five,6ZcIMK03qm0FepC1NyKxVS,2005-11-15,nan,nan
71,NRG,NRG Komodo,3PTzFmlYeORcJCpWdoKjvb,she from aloha,12VihtsLTj7dium93gkNKo,2023-12-07,she from aloha,3lBmVZWbKOf4oSVbbSHr1V
72,NRG,NRG,29g5FRS6Ryypu3QVvayEF7,BLOCK,4OS0YviAh2NJl9oGlXkFSb,2023-08-25,BLOCK,2OnAb3AtXoPz39bSvpNInO
73,NRG,nrg,6EEFjsH9sgqLhHpDzTsflL,Sei la mia Luna,00jxZQQEdjHx6rspoEeryq,2023-11-18,nan,nan
74,NRG,NRG,0dVWqs8BT9eLpozWjImnLP,Roulette,21I1Mavx9B1hP3GZkaXe9f,2014-07-04,nan,nan
75,NRG,Nrg Band,7lpytP7nwlQ5Af05Hpo1al,Live at Klan Arena,5BXR8Eyap0Wuea7ieIlkGh,2021-12-30,nan,nan
76,NRG,Diva,0CI6MkDddUbiuI8T7V5ZcF,Only Diva,74OewP8N2dDXLOVfUfo9Fx,2005-08-29,nan,nan
77,NRG,Jazzy,7zAAwgV5Wqmvpb4GzvlRkP,NRG (Evan McGee Remix),6LBbA8ASeu6sjnEF1SGsVT,2023-12-01,nan,nan
78,NRG,NRG,4qzjMiU2r8Sh59UlGspzVq,4 Horsemen,11sGqIiZdRC8JKHpq3pwL4,2022-12-25,4 Horsemen,584YifCSQPH137hS9FNFq8
79,NRG,José James,4l2MwXYwUDQKHcUXwCZjEz,On & On,0ubYsntRb3f8BJcrFQJRbA,2023-01-20,On & On,7hWsxzYvgj3XwDWXR5ppQB
80,PSY(싸이),PSY,2dd5mrQZvg6SmahdgVKDzh,PSY 9th,7hbSWdxliNs551GXtflIZB,2022-04-29,9INTRO,47bvKaK36CWYxRrqC5tyNC
81,PSY(싸이),PSY.P,2ADDS7CJUaPg2USWT6djqR,ULTRA,1kxKAs2COOqpfCHWEtYG0q,2023-12-03,nan,nan
82,PSY(싸이),Psycoban,01v0Z9gMiGm6z9Zs12iwYN,Caffeine Time,02ihqmoINqNsKEz2rsd6Z2,2012-04-18,Caffeine Time,75uiSYYKl6D2H8fpj5IE4a
83,PSY(싸이),Agust D,5RmQ8k4l3HZ8JoPb4mNsML,D-DAY,446ROKmKfpEwkbi2SjELVX,2023-04-21,D-Day,22W6wI4hDTjMAYKKBQW9dU
84,PSY(싸이),PSY BURGER,4mulGTWgvqwHijQTcah5XF,TO PSY,5yC2dQlLwLHkXFg17iNNaC,2022-07-12,TO PSY,6ohZFgqF67ub3M0d0eoMnV
85,PSY(싸이),PSY・S［saiz］,3zntsh5zPf73xyMnRi91jv,TWO SPIRITS HISTORY (LIVE),5fUHZQQRceCkaYie5MtMFC,2012-12-12,nan,nan
86,PSY(싸이),PsychShane,6WGstLZ1HpOoE1dZsGejDV,SummerArchive,6syvTcBpo9OzHzuyY5yXfv,2022-11-04,SummerArchive,7EJmg96w0K0ek5zYGriW7G
87,PSY(싸이),PSYQUI,3p8H8HTn04KXh2NRzhKScl,Waraenai,5tkROUB0WFTlAIm587KOwG,2023-09-06,Waraenai,1HvcwwwkPwDUhD7SkdptiN
88,PSY(싸이),Psy Chord,7rZvOL5jGxPx4CTmHQZhp2,Count On Me,6oChYZzqLhtdUylpCBoXBt,2023-09-04,Count On Me,0Nf7Obmh3vHphaMvG9gkj6
89,PSY(싸이),PSY,668Vsnb3E75eFxhTG9A20E,nan,nan,nan,nan,nan
90,SG 워너비,SG Wannabe,2c3IakpImjWyeXNvyyGsdn,Do You Remember,6Uv0YkRoThmA58sM6rpFIN,2021-05-07,nan,nan
91,SG 워너비,SG워너비,6sdDpjlRlv0apLFnAfgEMZ,Road For Hope ‘달리기’,4P9Pi47bAzj1szkECD5mPA,2010-11-25,달리기,0nladXTvshvQm93uAEY6sX
92,SG 워너비,Kim Yong Joon(SG wannabe) & Lee Bo Ram,5iLNjmB2yaFzNG5GZZNDk5,The way we love,2RRXBUKghe4COlf4nU3bZF,2013-07-08,The way we love,1jn70ze4UKRRSSRv7HKSjn
93,SG 워너비,Kim Jin Ho,0ZHGJr3gcX0fVYg1EQrcob,Song spring,1Auhf57Rd0lWOqRGwbKczz,2019-10-03,Scribbli,4ZOdBv9ngUZGDR6WebLuRj
94,SG 워너비,SG워너비&지아,4CLvSzd5Q8CzFKwzkhIzvq,처음처럼 (All Star 2집 Vol.3),5F4kTsOFYtUyamENA5WPE8,2008-03-12,nan,nan
95,SG 워너비,Lee Seok Hoon,16sxdaE9mk0Kis9CTP7Uot,LEESEOKHOON 1st Full Album 'Customary Place',5MfVAeTyhatiLjzaPtMbsh,2022-03-24,nan,nan
96,SG 워너비,Kim Jong Kook,60YNqzrSj7rJkuqHkpHPqG,Here I Am,2s12iviLT6fAPDDVJyr0Th,2018-10-22,nan,nan
97,SG 워너비,SG Lewis,0GG2cWaonE4JPrjcCCQ1EG,AudioLust & HigherLove,5861K3sQgAwu1sswhe5Gw8,2023-01-27,Intro,5o1slcPxllJAAORQtwHpYH
98,SG 워너비,Sg,4cJpDxU9dz5ji5XEhD39LK,The Sauga Continues Vol. 3,0QTFKMS1xiMMNPwvavKlO4,2008-03-18,nan,nan
